CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
CAGDP1 County and MSA gross domestic product (GDP) summary,,,,
County,,,,
GeoFips,GeoName,LineCode,Description,2020-2021
12001,"Alachua, FL",1,Real GDP (thousands of chained 2017 dollars),6.7
12001,"Alachua, FL",2,Chain-type quantity indexes for real GDP,6.7
12001,"Alachua, FL",3,Current-dollar GDP (thousands of current dollars),10.2
12003,"Baker, FL",1,Real GDP (thousands of chained 2017 dollars),4.4
12003,"Baker, FL",2,Chain-type quantity indexes for real GDP,4.4
12003,"Baker, FL",3,Current-dollar GDP (thousands of current dollars),9.5
12005,"Bay, FL",1,Real GDP (thousands of chained 2017 dollars),8.3
12005,"Bay, FL",2,Chain-type quantity indexes for real GDP,8.3
12005,"Bay, FL",3,Current-dollar GDP (thousands of current dollars),13.5
12007,"Bradford, FL",1,Real GDP (thousands of chained 2017 dollars),-2
12007,"Bradford, FL",2,Chain-type quantity indexes for real GDP,-2
12007,"Bradford, FL",3,Current-dollar GDP (thousands of current dollars),4.4
12009,"Brevard, FL",1,Real GDP (thousands of chained 2017 dollars),9.8
12009,"Brevard, FL",2,Chain-type quantity indexes for real GDP,9.8
12009,"Brevard, FL",3,Current-dollar GDP (thousands of current dollars),12.9
12011,"Broward, FL",1,Real GDP (thousands of chained 2017 dollars),9
12011,"Broward, FL",2,Chain-type quantity indexes for real GDP,9
12011,"Broward, FL",3,Current-dollar GDP (thousands of current dollars),13.1
12013,"Calhoun, FL",1,Real GDP (thousands of chained 2017 dollars),6.4
12013,"Calhoun, FL",2,Chain-type quantity indexes for real GDP,6.4
12013,"Calhoun, FL",3,Current-dollar GDP (thousands of current dollars),12.3
12015,"Charlotte, FL",1,Real GDP (thousands of chained 2017 dollars),4.2
12015,"Charlotte, FL",2,Chain-type quantity indexes for real GDP,4.2
12015,"Charlotte, FL",3,Current-dollar GDP (thousands of current dollars),8.2
12017,"Citrus, FL",1,Real GDP (thousands of chained 2017 dollars),6
12017,"Citrus, FL",2,Chain-type quantity indexes for real GDP,6
12017,"Citrus, FL",3,Current-dollar GDP (thousands of current dollars),12.9
12019,"Clay, FL",1,Real GDP (thousands of chained 2017 dollars),6.7
12019,"Clay, FL",2,Chain-type quantity indexes for real GDP,6.7
12019,"Clay, FL",3,Current-dollar GDP (thousands of current dollars),10.7
12021,"Collier, FL",1,Real GDP (thousands of chained 2017 dollars),12.7
12021,"Collier, FL",2,Chain-type quantity indexes for real GDP,12.7
12021,"Collier, FL",3,Current-dollar GDP (thousands of current dollars),16.9
12023,"Columbia, FL",1,Real GDP (thousands of chained 2017 dollars),0
12023,"Columbia, FL",2,Chain-type quantity indexes for real GDP,0
12023,"Columbia, FL",3,Current-dollar GDP (thousands of current dollars),9.1
12027,"DeSoto, FL",1,Real GDP (thousands of chained 2017 dollars),0.3
12027,"DeSoto, FL",2,Chain-type quantity indexes for real GDP,0.3
12027,"DeSoto, FL",3,Current-dollar GDP (thousands of current dollars),7.1
12029,"Dixie, FL",1,Real GDP (thousands of chained 2017 dollars),-4.5
12029,"Dixie, FL",2,Chain-type quantity indexes for real GDP,-4.5
12029,"Dixie, FL",3,Current-dollar GDP (thousands of current dollars),3.8
12031,"Duval, FL",1,Real GDP (thousands of chained 2017 dollars),7.1
12031,"Duval, FL",2,Chain-type quantity indexes for real GDP,7.1
12031,"Duval, FL",3,Current-dollar GDP (thousands of current dollars),11.3
12033,"Escambia, FL",1,Real GDP (thousands of chained 2017 dollars),7.2
12033,"Escambia, FL",2,Chain-type quantity indexes for real GDP,7.2
12033,"Escambia, FL",3,Current-dollar GDP (thousands of current dollars),11.5
12035,"Flagler, FL",1,Real GDP (thousands of chained 2017 dollars),7.9
12035,"Flagler, FL",2,Chain-type quantity indexes for real GDP,7.9
12035,"Flagler, FL",3,Current-dollar GDP (thousands of current dollars),11.9
12037,"Franklin, FL",1,Real GDP (thousands of chained 2017 dollars),3.3
12037,"Franklin, FL",2,Chain-type quantity indexes for real GDP,3.3
12037,"Franklin, FL",3,Current-dollar GDP (thousands of current dollars),6.8
12039,"Gadsden, FL",1,Real GDP (thousands of chained 2017 dollars),-6.1
12039,"Gadsden, FL",2,Chain-type quantity indexes for real GDP,-6.1
12039,"Gadsden, FL",3,Current-dollar GDP (thousands of current dollars),1.2
12041,"Gilchrist, FL",1,Real GDP (thousands of chained 2017 dollars),-6.1
12041,"Gilchrist, FL",2,Chain-type quantity indexes for real GDP,-6.1
12041,"Gilchrist, FL",3,Current-dollar GDP (thousands of current dollars),-0.3
12043,"Glades, FL",1,Real GDP (thousands of chained 2017 dollars),-4.4
12043,"Glades, FL",2,Chain-type quantity indexes for real GDP,-4.4
12043,"Glades, FL",3,Current-dollar GDP (thousands of current dollars),3.8
12045,"Gulf, FL",1,Real GDP (thousands of chained 2017 dollars),6.9
12045,"Gulf, FL",2,Chain-type quantity indexes for real GDP,6.9
12045,"Gulf, FL",3,Current-dollar GDP (thousands of current dollars),11.1
12047,"Hamilton, FL",1,Real GDP (thousands of chained 2017 dollars),2
12047,"Hamilton, FL",2,Chain-type quantity indexes for real GDP,2
12047,"Hamilton, FL",3,Current-dollar GDP (thousands of current dollars),10.4
12049,"Hardee, FL",1,Real GDP (thousands of chained 2017 dollars),-1
12049,"Hardee, FL",2,Chain-type quantity indexes for real GDP,-1
12049,"Hardee, FL",3,Current-dollar GDP (thousands of current dollars),9.3
12051,"Hendry, FL",1,Real GDP (thousands of chained 2017 dollars),-2.4
12051,"Hendry, FL",2,Chain-type quantity indexes for real GDP,-2.4
12051,"Hendry, FL",3,Current-dollar GDP (thousands of current dollars),8.1
12053,"Hernando, FL",1,Real GDP (thousands of chained 2017 dollars),6.9
12053,"Hernando, FL",2,Chain-type quantity indexes for real GDP,6.9
12053,"Hernando, FL",3,Current-dollar GDP (thousands of current dollars),10.8
12055,"Highlands, FL",1,Real GDP (thousands of chained 2017 dollars),2.4
12055,"Highlands, FL",2,Chain-type quantity indexes for real GDP,2.4
12055,"Highlands, FL",3,Current-dollar GDP (thousands of current dollars),8
12057,"Hillsborough, FL",1,Real GDP (thousands of chained 2017 dollars),8.5
12057,"Hillsborough, FL",2,Chain-type quantity indexes for real GDP,8.5
12057,"Hillsborough, FL",3,Current-dollar GDP (thousands of current dollars),12.7
12059,"Holmes, FL",1,Real GDP (thousands of chained 2017 dollars),7
12059,"Holmes, FL",2,Chain-type quantity indexes for real GDP,7
12059,"Holmes, FL",3,Current-dollar GDP (thousands of current dollars),10.5
12061,"Indian River, FL",1,Real GDP (thousands of chained 2017 dollars),13.8
12061,"Indian River, FL",2,Chain-type quantity indexes for real GDP,13.8
12061,"Indian River, FL",3,Current-dollar GDP (thousands of current dollars),18.5
12063,"Jackson, FL",1,Real GDP (thousands of chained 2017 dollars),0.7
