DATE,FLALAC1URN,FLBAKE3URN,FLBAYC5URN,FLBRAD7URN,FLBREV3URN,FLBROW5URN,FLCALH3URN,FLCHAR5URN,FLCITR5URN,FLCLAY5URN,FLCOLL0URN,FLCOLU3URN
2019-01-01,3.6,3.8,5.9,3.8,3.8,3.6,5.3,4.3,5.8,3.7,3.5,3.9
2019-02-01,3.0,3.2,4.8,3.3,3.4,3.2,4.5,3.8,5.1,3.2,3.0,3.5
2019-03-01,3.0,3.2,4.4,3.3,3.3,3.1,4.3,3.8,4.9,3.1,3.0,3.3
2019-04-01,2.6,2.9,3.7,2.9,3.0,2.8,3.7,3.4,4.5,2.8,2.7,3.0
2019-05-01,2.8,3.1,3.7,3.1,3.1,3.0,3.6,3.6,4.8,2.9,2.9,3.3
2019-06-01,3.4,3.6,3.8,3.6,3.5,3.3,4.1,4.0,5.3,3.4,3.5,3.7
2019-07-01,3.5,3.6,3.7,3.7,3.5,3.4,4.5,4.1,5.5,3.4,3.7,3.9
2019-08-01,3.2,3.3,3.5,3.7,3.5,3.3,4.4,4.1,5.3,3.3,3.9,3.5
2019-09-01,2.9,2.9,3.2,3.3,3.2,3.0,3.8,3.8,4.8,3.0,3.5,3.2
2019-10-01,2.9,3.0,3.1,3.2,3.1,3.0,3.7,3.6,4.6,3.0,3.2,3.1
2019-11-01,2.7,2.8,3.0,3.1,3.0,2.9,3.6,3.5,4.6,2.9,3.0,2.9
2019-12-01,2.5,2.7,2.9,2.8,2.8,2.6,3.2,3.2,4.3,2.6,2.6,2.8
2020-01-01,2.9,3.2,3.3,3.4,3.2,3.0,3.6,3.7,5.0,3.1,3.0,3.2
2020-02-01,2.4,2.6,2.7,3.4,2.8,2.8,2.9,3.2,4.4,2.7,2.6,2.8
2020-03-01,3.7,3.9,4.0,5.3,4.3,4.8,4.5,4.8,6.5,4.0,4.0,4.3
2020-04-01,8.4,6.6,12.5,8.3,12.1,15.0,6.6,14.0,14.2,9.1,13.2,8.8
2020-05-01,8.7,7.3,10.7,9.0,12.1,17.1,7.0,13.1,14.0,9.3,12.9,8.7
2020-06-01,7.7,6.8,7.6,8.6,9.5,14.1,6.7,10.6,11.3,7.7,10.8,7.6
2020-07-01,8.8,7.7,8.3,9.1,10.2,14.6,7.7,11.1,12.6,8.3,11.4,9.3
2020-08-01,6.1,5.5,6.1,6.5,7.1,10.5,5.7,7.9,8.8,5.6,8.1,6.7
2020-09-01,5.6,5.5,5.8,6.4,6.8,9.5,5.5,7.5,8.6,5.3,7.3,6.6
2020-10-01,5.0,5.1,5.0,5.6,5.8,7.7,5.2,6.2,7.4,4.6,5.8,6.1
2020-11-01,4.8,5.1,5.0,5.4,5.5,7.1,5.2,5.7,7.2,4.5,5.2,5.9
2020-12-01,4.6,4.8,5.1,5.1,5.1,6.6,4.8,5.5,7.1,4.3,4.7,5.6
2021-01-01,4.9,4.7,5.3,5.2,5.3,6.5,5.2,5.2,6.9,4.5,4.5,5.5
2021-02-01,4.3,4.1,4.8,4.8,4.9,5.8,4.9,4.8,6.4,4.1,4.0,5.1
2021-03-01,3.9,4.0,4.3,4.4,4.4,5.5,4.7,4.8,6.3,3.9,4.0,4.9
2021-04-01,3.7,3.7,4.0,4.1,4.2,5.2,4.5,4.4,5.7,3.6,3.6,4.6
2021-05-01,3.7,3.5,3.8,4.0,4.1,5.1,4.6,4.3,5.6,3.4,3.5,4.5
2021-06-01,4.4,4.3,4.3,4.7,4.6,5.5,5.3,5.1,6.5,4.1,4.3,5.2
2021-07-01,4.3,4.2,4.1,4.6,4.3,5.1,5.3,4.9,6.3,4.0,4.3,5.0
2021-08-01,4.0,4.0,3.9,4.4,4.2,4.9,4.8,4.8,6.1,3.7,4.2,4.8
2021-09-01,3.5,3.6,3.5,4.0,3.8,4.5,4.5,4.3,5.4,3.4,3.7,4.4
2021-10-01,3.4,3.6,3.4,3.8,3.6,4.1,4.5,4.0,5.0,3.2,3.4,4.2
2021-11-01,3.1,3.3,3.3,3.9,3.5,3.9,4.1,3.9,5.0,3.0,3.1,4.0
2021-12-01,2.8,2.9,3.1,3.4,3.0,3.3,3.6,3.4,4.4,2.7,2.7,3.5
