DATE,FLDESO7URN,FLDIXI9URN,FLDUVA0URN,FLESCA0URN,FLFLAG5URN,FLFRAN7URN,FLGADS9URN,FLGILC1URN,FLGLAD3URN,FLGULF5URN,FLHAMI7URN,FLHARD9URN
2019-01-01,4.3,4.4,3.8,3.9,4.6,5.3,4.8,4.0,4.0,7.6,5.2,5.3
2019-02-01,3.7,3.8,3.4,3.4,4.0,4.6,4.2,3.4,3.6,6.3,4.6,5.0
2019-03-01,3.5,3.7,3.4,3.3,3.9,4.2,4.2,3.5,3.7,5.5,4.4,4.8
2019-04-01,3.1,3.4,3.0,3.0,3.5,3.5,3.8,3.1,3.6,4.9,3.7,4.4
2019-05-01,3.1,3.4,3.2,3.1,3.8,3.5,4.1,3.3,3.7,4.8,3.9,4.8
2019-06-01,3.9,4.3,3.7,3.6,4.2,3.6,4.5,3.9,4.9,4.9,4.2,5.9
2019-07-01,4.1,4.6,3.9,3.6,4.2,3.7,4.8,4.0,5.2,4.7,4.7,6.7
2019-08-01,3.9,4.4,3.6,3.5,4.2,3.7,4.6,3.7,4.8,4.4,4.3,5.9
2019-09-01,3.6,3.6,3.3,3.2,3.8,3.2,4.2,3.2,4.3,4.1,4.1,5.5
2019-10-01,3.6,3.6,3.2,3.2,3.7,3.1,4.1,3.3,3.9,3.8,4.0,5.2
2019-11-01,3.5,3.5,3.1,3.1,3.7,3.0,3.8,3.2,3.7,3.6,3.9,4.6
2019-12-01,3.1,3.6,2.8,2.9,3.4,2.8,3.5,2.9,3.5,3.5,3.8,4.3
2020-01-01,3.5,3.9,3.3,3.4,3.8,3.1,4.0,3.4,3.9,3.9,4.6,4.5
2020-02-01,3.0,3.4,2.9,2.9,3.3,2.7,3.5,2.8,3.5,3.1,3.8,3.8
2020-03-01,4.7,4.9,4.5,4.4,5.0,3.9,5.5,4.2,5.0,4.5,5.8,5.8
2020-04-01,6.6,6.7,11.1,11.7,14.0,10.7,7.6,6.8,6.1,8.9,8.3,6.7
2020-05-01,7.1,7.7,11.7,11.2,14.2,9.5,9.0,6.6,7.9,9.2,10.2,8.4
2020-06-01,7.0,7.5,9.7,8.9,10.9,6.8,8.8,6.5,8.6,7.7,9.5,9.1
2020-07-01,8.3,8.9,10.9,10.6,11.1,7.1,11.0,7.5,10.3,8.9,12.6,11.6
2020-08-01,5.7,6.0,7.9,7.6,7.8,5.2,8.7,5.3,6.7,6.8,10.3,7.8
2020-09-01,5.5,5.9,7.3,7.1,7.6,5.0,8.5,5.2,6.2,6.1,9.7,7.5
2020-10-01,4.8,5.0,6.3,6.3,6.4,4.9,7.4,4.7,5.0,5.0,7.8,6.0
2020-11-01,4.7,5.3,5.9,6.1,6.1,5.1,7.2,4.8,5.2,4.9,7.6,5.9
2020-12-01,4.6,5.2,5.6,5.8,5.9,4.7,6.9,4.8,5.0,5.0,7.7,5.7
2021-01-01,5.2,5.5,5.7,5.9,5.9,5.0,7.0,4.7,5.3,4.9,7.6,5.8
2021-02-01,4.8,5.0,5.2,5.3,5.3,4.6,6.6,4.4,4.5,4.7,6.8,5.2
2021-03-01,4.6,4.8,4.9,4.9,5.1,4.1,5.9,3.9,4.5,3.8,6.3,4.8
2021-04-01,4.0,4.3,4.6,4.6,4.8,3.6,5.6,3.6,4.0,3.5,6.3,4.5
2021-05-01,4.0,4.1,4.5,4.5,4.6,3.4,5.4,3.7,4.1,3.4,6.1,4.5
2021-06-01,4.8,5.1,5.1,5.2,5.4,4.1,6.1,4.5,5.2,3.9,6.4,5.6
2021-07-01,4.8,5.0,4.9,4.9,5.0,4.2,6.0,4.2,5.2,3.8,6.3,6.0
2021-08-01,4.5,4.9,4.6,4.7,4.9,4.2,5.8,4.1,5.0,3.7,6.2,5.7
2021-09-01,4.0,4.2,4.2,4.2,4.4,3.7,5.4,3.5,4.2,3.3,5.8,5.0
2021-10-01,3.8,4.2,4.0,4.1,4.2,3.6,5.1,3.4,3.9,3.2,5.4,4.6
2021-11-01,3.6,4.0,3.8,3.9,4.1,3.4,4.9,3.3,3.6,3.2,5.2,4.2
2021-12-01,3.1,3.2,3.2,3.4,3.5,3.1,4.3,3.0,3.3,3.3,4.7,3.6
