DATE,FLHEND1URN,FLHERN3URN,FLHIGH5URN,FLHILL7URN,FLHOLM9URN,FLINDI0URN,FLJACK3URN,FLJEFF5URN,FLLAFA7URN,FLLAKE4URN,FLLEEC7URN,FLLEON3URN
2019-01-01,5.8,5.0,5.3,3.6,4.5,4.3,4.5,4.0,3.4,3.9,3.7,3.7
2019-02-01,5.0,4.5,4.7,3.2,3.7,3.9,3.9,3.6,2.9,3.4,3.2,3.1
2019-03-01,4.8,4.3,4.6,3.2,3.6,3.8,3.7,3.5,2.9,3.3,3.2,3.1
2019-04-01,4.2,3.9,4.1,2.9,3.3,3.5,3.3,3.2,2.7,3.0,2.9,2.8
2019-05-01,4.7,4.1,4.4,3.0,3.4,3.7,3.5,3.3,2.7,3.1,3.1,2.9
2019-06-01,6.9,4.7,5.0,3.4,3.9,4.3,4.0,3.7,3.5,3.6,3.6,3.6
2019-07-01,8.8,4.7,5.4,3.6,4.1,4.5,4.1,3.8,3.6,3.6,3.6,3.8
2019-08-01,8.4,4.6,5.2,3.4,3.7,4.5,3.7,3.6,3.2,3.5,3.5,3.4
2019-09-01,7.8,4.2,4.7,3.1,3.5,4.1,3.2,3.3,3.0,3.1,3.2,3.1
2019-10-01,6.5,4.1,4.5,3.1,3.4,3.8,3.1,3.2,2.8,3.1,3.1,3.1
2019-11-01,5.6,4.0,4.4,2.9,3.3,3.6,3.1,3.1,2.6,3.1,3.0,2.8
2019-12-01,5.0,3.7,4.1,2.6,3.1,3.3,3.0,2.8,2.4,2.8,2.7,2.7
2020-01-01,5.2,4.2,4.6,3.0,3.8,3.7,3.4,3.3,2.9,3.2,3.1,3.1
2020-02-01,4.5,3.8,4.1,2.6,3.2,3.2,2.8,2.9,2.4,2.8,2.7,2.6
2020-03-01,6.7,5.8,6.2,4.4,4.7,4.9,4.3,4.5,3.8,4.4,4.3,4.1
2020-04-01,9.0,13.9,10.4,12.1,7.5,13.2,6.7,7.0,3.9,13.9,13.9,8.2
2020-05-01,10.8,14.2,11.5,13.0,8.4,13.0,7.7,7.7,5.3,19.4,13.8,8.9
2020-06-01,11.6,11.4,10.6,10.8,7.4,10.6,7.4,7.7,5.1,15.7,11.2,8.3
2020-07-01,15.2,12.1,12.4,11.9,8.9,11.5,8.5,8.9,7.4,13.6,11.6,9.9
2020-08-01,11.1,8.6,8.8,8.3,5.8,8.2,6.0,6.7,4.8,9.5,8.2,6.9
2020-09-01,10.3,8.2,8.7,7.6,5.6,7.8,5.9,6.1,5.1,8.9,7.6,6.4
2020-10-01,7.7,7.0,7.4,6.3,5.0,6.5,5.5,5.5,4.7,7.3,6.3,5.6
2020-11-01,7.3,6.6,6.9,5.8,5.0,6.1,5.6,5.6,4.6,6.7,5.8,5.4
2020-12-01,6.7,6.2,6.8,5.4,4.9,5.7,5.5,5.3,4.6,6.2,5.3,5.3
2021-01-01,7.0,6.3,7.4,5.4,5.0,5.7,5.9,5.3,4.8,6.1,5.2,5.5
2021-02-01,6.3,5.8,6.4,4.9,4.9,5.2,5.4,4.9,4.5,5.5,4.7,4.9
2021-03-01,5.8,5.6,6.2,4.7,4.4,5.0,4.7,4.5,4.1,5.3,4.6,4.5
2021-04-01,5.6,5.2,5.9,4.5,4.0,4.9,4.6,4.3,3.7,5.0,4.3,4.2
2021-05-01,5.5,5.1,5.8,4.4,3.8,4.8,4.5,4.0,3.9,4.8,4.2,4.1
2021-06-01,7.3,5.8,6.8,4.9,4.9,5.5,5.3,4.8,4.5,5.4,4.8,4.8
2021-07-01,7.9,5.6,6.6,4.6,4.7,5.3,5.3,4.7,4.9,5.0,4.6,4.7
2021-08-01,7.6,5.4,6.4,4.4,4.4,5.1,4.9,4.7,4.3,4.8,4.4,4.4
2021-09-01,7.0,4.8,5.8,4.0,3.9,4.6,4.4,4.3,3.8,4.3,4.0,3.9
2021-10-01,6.5,4.6,5.2,3.8,4.0,4.3,4.2,3.9,3.5,4.1,3.8,3.8
2021-11-01,5.7,4.3,5.0,3.5,3.6,4.0,3.8,3.9,3.6,3.9,3.6,3.5
2021-12-01,4.7,3.9,4.3,3.0,3.2,3.5,3.3,3.3,3.0,3.4,3.1,3.1
