DATE,FLLEVY5URN,FLLIBE7URN,FLMADI9URN,FLMANA1URN,FLMARI7URN,FLMART7URN,FLMIAM6URN,FLMONR5URN,FLNASS9URN,FLOKAL7URN,FLOKEE3URN,FLORAN0URN
2019-01-01,4.5,4.4,4.4,3.7,4.6,3.8,3.3,2.5,3.6,3.4,4.0,3.5
2019-02-01,4.0,3.9,4.0,3.2,4.0,3.3,2.9,2.2,3.1,3.0,3.5,3.0
2019-03-01,3.9,3.8,3.9,3.1,4.0,3.3,3.2,2.1,3.0,2.8,3.5,3.0
2019-04-01,3.5,3.4,3.4,2.9,3.6,2.9,2.9,1.9,2.7,2.5,3.2,2.7
2019-05-01,3.7,3.5,3.6,3.0,3.7,3.1,2.9,2.0,2.8,2.6,3.3,2.9
2019-06-01,4.3,4.0,4.1,3.5,4.3,3.6,3.0,2.2,3.2,2.9,4.0,3.2
2019-07-01,4.3,3.9,4.5,3.6,4.3,3.7,3.2,2.2,3.3,2.9,4.3,3.3
2019-08-01,4.1,3.4,4.1,3.5,4.2,3.5,3.2,2.2,3.2,2.9,4.0,3.2
2019-09-01,3.6,3.0,3.9,3.2,3.8,3.2,2.9,2.0,2.9,2.6,3.7,3.0
2019-10-01,3.5,3.4,3.6,3.1,3.7,3.0,2.7,2.0,2.9,2.6,3.3,2.9
2019-11-01,3.4,3.3,3.6,3.0,3.6,2.9,2.4,1.9,2.8,2.6,3.1,2.7
2019-12-01,3.1,3.0,3.3,2.7,3.3,2.7,2.4,1.8,2.6,2.4,2.8,2.5
2020-01-01,3.7,3.2,3.5,3.2,3.9,3.1,2.3,2.0,3.0,2.9,3.1,2.9
2020-02-01,3.2,3.0,3.1,2.8,3.3,2.7,2.1,1.8,2.6,2.4,2.7,2.5
2020-03-01,4.8,4.4,4.6,4.3,5.1,4.0,3.1,2.7,3.9,3.6,4.1,4.1
2020-04-01,9.9,5.7,6.6,12.9,11.5,11.4,11.1,20.5,10.8,12.6,7.1,16.9
2020-05-01,9.4,5.6,7.8,12.5,11.5,11.1,12.0,20.4,10.4,10.0,7.8,23.2
2020-06-01,8.2,6.1,7.9,9.8,9.7,9.1,11.3,12.5,8.2,7.1,7.7,19.6
2020-07-01,9.1,7.7,10.5,10.6,10.7,9.5,11.1,11.3,8.3,7.6,9.1,17.7
2020-08-01,6.3,5.7,7.8,7.4,7.8,6.4,9.9,7.7,5.7,5.3,6.2,12.4
2020-09-01,6.3,5.6,7.5,7.0,7.5,6.0,10.3,7.0,5.4,5.1,6.0,11.3
2020-10-01,5.5,4.8,6.8,5.9,6.5,4.9,9.2,5.5,4.6,4.4,5.2,9.0
2020-11-01,5.6,4.5,5.9,5.5,6.3,4.7,8.8,4.9,4.5,4.4,5.1,8.0
2020-12-01,5.5,4.4,5.8,5.1,6.0,4.4,8.9,4.3,4.3,4.3,4.9,7.1
2021-01-01,5.6,5.0,6.2,5.0,6.0,4.5,8.1,4.1,4.4,4.4,5.0,7.0
2021-02-01,5.1,4.7,5.5,4.5,5.6,4.1,7.4,3.7,4.0,4.0,4.5,6.2
2021-03-01,4.9,4.1,5.3,4.4,5.4,3.9,7.4,3.4,3.8,3.7,4.3,5.8
2021-04-01,4.4,4.1,5.2,4.1,5.0,3.6,6.6,3.1,3.5,3.3,4.0,5.6
2021-05-01,4.4,3.7,5.5,3.9,4.9,3.4,6.0,3.0,3.3,3.2,4.1,5.5
2021-06-01,5.1,4.6,5.8,4.6,5.7,4.1,6.1,3.3,4.0,3.8,4.9,5.9
2021-07-01,5.0,4.5,5.5,4.5,5.3,4.0,5.5,3.2,3.8,3.6,4.8,5.3
2021-08-01,4.9,4.9,5.0,4.3,5.2,3.9,5.2,3.0,3.6,3.5,4.7,5.0
2021-09-01,4.3,4.7,4.5,3.8,4.7,3.5,4.4,2.7,3.2,3.1,4.2,4.6
2021-10-01,4.1,4.0,4.4,3.6,4.5,3.3,3.7,2.5,3.1,3.0,4.1,4.2
2021-11-01,4.0,4.2,4.2,3.4,4.2,3.2,3.3,2.4,3.0,2.9,3.9,3.9
2021-12-01,3.5,3.7,3.7,3.0,3.7,2.7,3.0,2.1,2.6,2.6,3.4,3.4
