DATE,FLOSCE7URN,FLPALM2URN,FLPASC5URN,FLPINE5URN,FLPOLK5URN,FLPUTN7URN,FLSANT7URN,FLSARA5URN,FLSEMI0URN,FLSTJO9URN,FLSTLU5URN,FLSUMT9URN
2019-01-01,3.9,3.8,4.2,3.6,4.4,5.1,3.6,3.7,3.5,3.3,4.6,5.5
2019-02-01,3.4,3.3,3.7,3.2,3.8,4.5,3.1,3.2,3.1,2.8,4.1,5.0
2019-03-01,3.3,3.3,3.6,3.2,3.8,4.4,3.1,3.2,3.0,2.8,3.9,5.0
2019-04-01,3.0,2.9,3.3,2.8,3.4,4.0,2.7,2.9,2.7,2.5,3.6,4.6
2019-05-01,3.1,3.1,3.4,3.0,3.6,4.2,2.8,3.0,2.9,2.5,3.9,4.7
2019-06-01,3.6,3.6,3.9,3.3,4.2,4.8,3.3,3.5,3.2,2.9,4.4,5.3
2019-07-01,3.8,3.8,3.9,3.3,4.4,4.9,3.4,3.5,3.3,3.0,4.5,5.1
2019-08-01,3.6,3.8,3.8,3.3,4.2,4.7,3.2,3.5,3.2,2.8,4.4,5.2
2019-09-01,3.4,3.5,3.5,3.0,3.8,4.2,2.9,3.1,2.9,2.6,4.0,4.4
2019-10-01,3.3,3.3,3.4,2.9,3.7,4.1,2.9,3.0,2.9,2.5,3.9,4.3
2019-11-01,3.1,3.1,3.3,2.9,3.5,4.1,2.8,2.9,2.8,2.5,3.7,4.5
2019-12-01,2.9,2.8,3.0,2.6,3.2,3.9,2.6,2.7,2.5,2.3,3.4,4.1
2020-01-01,3.3,3.1,3.5,3.0,3.7,4.5,3.0,3.2,2.9,2.7,3.9,4.8
2020-02-01,2.8,2.8,3.0,2.7,3.2,4.2,2.5,2.7,2.5,2.3,3.4,4.3
2020-03-01,4.5,4.4,4.7,4.2,4.9,6.4,3.8,4.2,4.0,3.5,5.3,6.3
2020-04-01,20.5,13.5,12.8,13.6,12.9,10.2,9.4,13.8,12.5,10.2,13.3,11.8
2020-05-01,30.0,14.1,13.0,13.5,18.1,11.4,8.6,13.0,14.4,9.6,13.5,13.0
2020-06-01,25.1,11.6,10.4,10.5,15.2,10.5,7.0,9.9,11.7,7.6,11.1,11.2
2020-07-01,21.4,12.4,10.9,11.0,14.3,12.5,7.9,10.3,11.7,7.9,11.9,11.9
2020-08-01,15.4,9.0,7.7,7.7,10.2,9.0,5.4,7.2,8.1,5.3,8.7,8.4
2020-09-01,13.9,8.1,7.2,7.2,9.6,9.0,5.0,6.8,7.6,4.9,8.1,8.3
2020-10-01,11.0,6.6,6.2,6.0,7.9,8.2,4.4,5.7,6.3,4.1,6.8,6.9
2020-11-01,9.7,6.0,5.8,5.6,7.3,7.8,4.4,5.4,5.7,4.0,6.3,6.9
2020-12-01,8.5,5.6,5.5,5.2,6.7,7.5,4.3,5.1,5.3,3.8,6.0,6.7
2021-01-01,8.4,5.5,5.6,5.1,6.7,7.3,4.4,4.9,5.3,3.9,6.0,6.3
2021-02-01,7.4,4.9,5.0,4.6,6.1,6.9,4.0,4.5,4.8,3.4,5.5,5.8
2021-03-01,6.9,4.7,4.9,4.4,5.8,6.3,3.8,4.4,4.6,3.3,5.3,6.0
2021-04-01,6.8,4.5,4.6,4.2,5.6,6.1,3.4,3.9,4.3,3.1,5.1,5.3
2021-05-01,6.6,4.3,4.5,4.1,5.5,6.0,3.3,3.8,4.2,2.9,5.0,5.0
2021-06-01,7.1,5.0,5.1,4.6,6.2,6.8,4.0,4.5,4.7,3.5,5.7,6.1
2021-07-01,6.5,4.7,4.8,4.3,6.0,6.4,4.0,4.3,4.4,3.4,5.4,5.9
2021-08-01,6.0,4.6,4.6,4.2,5.6,6.1,3.7,4.2,4.1,3.3,5.2,5.9
2021-09-01,5.6,4.2,4.2,3.7,5.0,5.8,3.3,3.8,3.8,2.9,4.7,5.3
2021-10-01,5.1,3.9,3.9,3.5,4.7,5.6,3.2,3.5,3.6,2.8,4.4,4.8
2021-11-01,4.8,3.6,3.8,3.4,4.4,5.3,3.1,3.4,3.4,2.7,4.2,4.8
2021-12-01,4.1,3.1,3.2,2.9,3.8,4.6,2.8,2.9,2.9,2.3,3.6,4.2
