DATE,FLSUWA1URN,FLTAYL3URN,FLUNIO5URN,FLVOLU7URN,FLWAKU9URN,FLWALT1URN,FLWASH3URN
2019-01-01,4.0,4.4,3.6,4.1,3.5,3.6,4.7
2019-02-01,3.5,3.8,3.0,3.6,2.9,3.1,3.9
2019-03-01,3.5,3.6,3.0,3.5,2.9,3.0,3.6
2019-04-01,3.1,3.4,2.7,3.2,2.7,2.7,3.2
2019-05-01,3.2,3.4,2.8,3.4,2.9,2.7,3.2
2019-06-01,3.6,3.9,3.4,3.8,3.2,3.1,3.8
2019-07-01,3.9,4.2,3.6,3.9,3.4,3.1,3.8
2019-08-01,3.8,4.0,3.2,3.7,3.1,3.0,3.6
2019-09-01,3.4,3.6,2.9,3.4,2.8,2.8,3.3
2019-10-01,3.3,3.5,3.0,3.4,2.9,2.7,3.3
2019-11-01,3.2,3.3,2.8,3.3,2.7,2.8,3.2
2019-12-01,3.0,3.1,2.7,3.1,2.5,2.6,3.0
2020-01-01,3.4,3.5,3.0,3.5,2.9,3.0,3.6
2020-02-01,3.0,2.9,2.5,3.1,2.5,2.5,3.2
2020-03-01,4.5,4.4,3.7,4.8,3.7,3.7,4.4
2020-04-01,7.3,7.2,6.0,14.0,6.7,13.6,8.9
2020-05-01,8.0,8.6,6.7,14.1,7.1,11.1,9.0
2020-06-01,7.6,7.8,6.1,11.1,6.2,7.6,7.8
2020-07-01,9.2,10.3,7.7,11.8,6.9,7.9,8.8
2020-08-01,6.4,8.1,5.4,8.3,4.9,5.4,6.2
2020-09-01,6.4,8.2,5.0,7.8,4.5,5.3,6.0
2020-10-01,5.7,6.8,4.8,6.6,3.9,4.7,5.5
2020-11-01,5.5,6.7,4.8,6.2,3.9,4.6,5.2
2020-12-01,5.3,6.4,4.5,5.9,3.8,4.6,5.4
2021-01-01,5.5,6.6,4.8,5.9,3.9,4.7,5.8
2021-02-01,5.1,6.0,4.4,5.3,3.5,4.2,5.0
2021-03-01,4.8,5.5,3.8,5.1,3.4,3.9,4.8
2021-04-01,4.5,5.3,3.9,4.8,3.2,3.6,4.5
2021-05-01,4.4,5.2,3.8,4.7,3.1,3.3,4.6
2021-06-01,5.3,5.7,4.5,5.3,3.9,4.0,5.3
2021-07-01,5.1,5.5,4.4,5.0,3.7,3.8,5.0
2021-08-01,4.8,5.2,4.1,4.7,3.5,3.7,4.7
2021-09-01,4.5,4.6,3.6,4.3,3.0,3.4,4.2
2021-10-01,4.2,4.4,3.4,4.1,2.9,3.2,4.0
2021-11-01,3.9,4.4,3.2,3.9,2.8,3.1,3.8
2021-12-01,3.4,4.0,2.7,3.4,2.5,2.7,3.5
